Rk,Player,Pos,Tm,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA
475,"Garrett Temple",SG,CHI,56,1528,158,381,67,200,91,181,40,50
477,"Daniel Theis",C,CHI,23,574,93,178,16,57,77,121,28,43
477,"Daniel Theis",C,BOS,42,1027,159,288,33,95,126,193,46,67
477,"Daniel Theis",C,CHI,23,574,93,178,16,57,77,121,28,43
477,"Daniel Theis",C,BOS,42,1027,159,288,33,95,126,193,46,67
482,"Tristan Thompson",PF,BOS,54,1287,169,326,0,3,169,323,71,120
484,"Matisse Thybulle",SG,PHI,65,1298,102,243,43,143,59,100,8,18
486,"Xavier Tillman Sr",PF,MEM,59,1085,167,299,22,65,145,234,34,53
488,"Obi Toppin",PF,NYK,62,683,104,209,26,85,78,124,19,26
489,"Juan Toscano-Anderson",SG,GSW,53,1107,121,209,37,92,84,117,22,31
491,"Karl-Anthony Towns",C,MIN,50,1689,425,875,122,315,303,560,267,311
492,"Gary Trent Jr",SG,TOR,17,540,103,261,44,124,59,137,25,31
492,"Gary Trent Jr",SG,POR,41,1262,217,524,121,305,96,219,58,75
492,"Gary Trent Jr",SG,TOR,17,540,103,261,44,124,59,137,25,31
492,"Gary Trent Jr",SG,POR,41,1262,217,524,121,305,96,219,58,75
493,"PJ Tucker",PF,HOU,32,959,48,131,27,86,21,45,18,23
493,"PJ Tucker",PF,HOU,32,959,48,131,27,86,21,45,18,23
495,"Myles Turner",C,IND,47,1455,206,432,69,206,137,226,111,142
496,"Jonas Valanciunas",C,MEM,62,1755,440,743,21,57,419,686,157,203
497,"Denzel Valentine",SG,CHI,62,1036,155,416,80,242,75,174,16,17
498,"Jarred Vanderbilt",PF,MIN,64,1139,143,236,1,5,142,231,57,102
499,"Fred VanVleet",SG,TOR,52,1899,338,870,174,476,164,394,169,191
501,"Devin Vassell",SF,SAS,62,1056,123,303,52,150,71,153,43,51
502,"Gabe Vincent",PG,MIA,50,655,88,233,46,149,42,84,20,23
504,"Nikola Vucevic",C,CHI,26,848,230,488,59,152,171,336,40,46
504,"Nikola Vucevic",C,ORL,44,1500,436,908,117,288,319,620,91,110
504,"Nikola Vucevic",C,CHI,26,848,230,488,59,152,171,336,40,46
504,"Nikola Vucevic",C,ORL,44,1500,436,908,117,288,319,620,91,110
505,"Dean Wade",PF,CLE,63,1212,134,311,78,213,56,98,30,39
507,"Kemba Walker",PG,BOS,43,1369,284,676,127,353,157,323,134,149
508,"Lonnie Walker",SG,SAS,60,1522,256,609,100,282,156,327,57,70
509,"John Wall",PG,HOU,40,1288,293,726,79,249,214,477,158,211
510,"Brad Wanamaker",PG,GSW,39,625,61,173,13,61,48,112,50,56
510,"Brad Wanamaker",PG,GSW,39,625,61,173,13,61,48,112,50,56
512,"PJ Washington",PF,CHO,64,1954,302,686,112,290,190,396,108,145
513,"Yuta Watanabe",SF,TOR,50,723,79,180,36,90,43,90,24,29
517,"Russell Westbrook",PG,WAS,65,2369,544,1238,86,273,458,965,271,413
518,"Coby White",PG,CHI,69,2156,375,902,163,454,212,448,128,142
519,"Derrick White",SG,SAS,36,1064,186,453,84,243,102,210,97,114
520,"Hassan Whiteside",C,SAC,36,546,126,224,0,1,126,223,41,79
522,"Andrew Wiggins",PF,GSW,71,2364,505,1058,140,368,365,690,170,238
523,"Grant Williams",PF,BOS,63,1138,108,247,48,129,60,118,30,51
524,"Kenrich Williams",PF,OKC,66,1426,219,411,52,117,167,294,36,63
525,"Lou Williams",PG,ATL,24,505,84,216,24,54,60,162,47,54
525,"Lou Williams",PG,LAC,42,918,181,430,45,119,136,311,103,119
525,"Lou Williams",PG,ATL,24,505,84,216,24,54,60,162,47,54
525,"Lou Williams",PG,LAC,42,918,181,430,45,119,136,311,103,119
526,"Patrick Williams",PF,CHI,71,1983,255,528,54,138,201,390,91,125
527,"Robert Williams",C,BOS,52,985,186,258,0,2,186,256,45,73
528,"Zion Williamson",PF,NOP,61,2026,634,1037,10,34,624,1003,369,529
530,"Dylan Windler",SF,CLE,31,513,57,130,26,77,31,53,21,27
531,"Justise Winslow",SF,MEM,26,507,74,210,10,54,64,156,20,35
533,"James Wiseman",C,GSW,39,836,191,368,12,38,179,330,54,86
534,"Christian Wood",C,HOU,41,1326,329,640,77,206,252,434,125,198
536,"Delon Wright",PG,SAC,27,696,104,225,33,83,71,142,30,36
536,"Delon Wright",SG,DET,36,1052,136,293,31,89,105,204,71,90
536,"Delon Wright",PG,SAC,27,696,104,225,33,83,71,142,30,36
536,"Delon Wright",SG,DET,36,1052,136,293,31,89,105,204,71,90
537,"Thaddeus Young",PF,CHI,68,1652,370,662,12,45,358,617,71,113
538,"Trae Young",PG,ATL,63,2125,487,1112,136,397,351,715,484,546
539,"Cody Zeller",C,CHO,48,1005,181,324,4,28,177,296,85,119
540,"Ivica Zubac",C,LAC,72,1609,257,394,1,4,256,390,135,171
