Rk,Player,Pos,Tm,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA
105,"John Collins",PF,ATL,63,1848,429,771,83,208,346,563,170,204
106,"Mike Conley",PG,UTA,51,1498,284,640,138,335,146,305,121,142
107,"Pat Connaughton",SG,MIL,69,1575,168,387,101,272,67,115,31,40
110,"DeMarcus Cousins",C,HOU,25,506,79,210,39,116,40,94,44,59
110,"DeMarcus Cousins",C,HOU,25,506,79,210,39,116,40,94,44,59
111,"Robert Covington",PF,POR,70,2243,204,509,135,356,69,153,50,62
112,"Torrey Craig",SF,PHO,32,602,91,181,31,84,60,97,16,20
112,"Torrey Craig",SF,PHO,32,602,91,181,31,84,60,97,16,20
113,"Jae Crowder",PF,PHO,60,1648,199,492,148,380,51,112,57,75
115,"Seth Curry",SG,PHI,57,1638,258,552,126,280,132,272,69,77
116,"Stephen Curry",PG,GSW,63,2152,658,1365,337,801,321,564,362,395
118,"Anthony Davis",PF,LAL,36,1162,301,613,26,100,275,513,158,214
120,"Terence Davis",SG,SAC,27,581,108,246,54,145,54,101,29,37
120,"Terence Davis",SG,SAC,27,581,108,246,54,145,54,101,29,37
124,"DeMar DeRozan",PF,SAS,61,2056,455,920,19,74,436,846,387,440
126,"Hamidou Diallo",SG,OKC,32,761,143,297,12,41,131,256,83,132
126,"Hamidou Diallo",SG,OKC,32,761,143,297,12,41,131,256,83,132
129,"Donte DiVincenzo",SG,MIL,66,1814,253,603,131,346,122,257,51,71
130,"Luka Doncic",PG,DAL,66,2262,647,1351,192,548,455,803,344,471
131,"Luguentz Dort",SG,OKC,52,1543,247,639,113,329,134,310,122,164
132,"Damyean Dotson",SG,CLE,46,907,119,293,46,159,73,134,24,36
134,"Sekou Doumbouya",PF,DET,56,869,107,282,26,115,81,167,45,64
135,"PJ Dozier",SG,DEN,50,1088,148,355,47,149,101,206,42,66
136,"Goran Dragic",PG,MIA,50,1337,240,555,91,244,149,311,101,122
137,"Andre Drummond",C,CLE,25,722,180,380,0,8,180,372,77,129
137,"Andre Drummond",C,CLE,25,722,180,380,0,8,180,372,77,129
