Player,Tm,FTA,FT,freethowpercent
"Isaiah Roby",OKC,117,87,0.7436
"Bruce Brown",BRK,117,86,0.7350
"Cody Zeller",CHO,119,85,0.7143
"Garrison Mathews",WAS,95,84,0.8842
"Dario Saric",PHO,99,84,0.8485
"Josh Okogie",MIN,108,83,0.7685
"Hamidou Diallo",OKC,132,83,0.6288
"Hamidou Diallo",OKC,132,83,0.6288
"Rudy Gay",SAS,102,82,0.8039
"Wendell Carter Jr",CHI,111,82,0.7387
"Wendell Carter Jr",CHI,111,82,0.7387
"Facundo Campazzo",DEN,91,80,0.8791
"Doug McDermott",IND,98,80,0.8163
"OG Anunoby",TOR,102,80,0.7843
"Grayson Allen",MEM,91,79,0.8681
"Terance Mann",LAC,94,78,0.8298
"Brandon Clarke",MEM,113,78,0.6903
"Drew Eubanks",SAS,106,77,0.7264
"Andre Drummond",CLE,129,77,0.5969
"Andre Drummond",CLE,129,77,0.5969
"Marvin Bagley III",SAC,134,77,0.5746
"Joe Ingles",UTA,90,76,0.8444
"Lauri Markkanen",CHI,92,76,0.8261
"Cedi Osman",CLE,95,76,0.8000
"Raul Neto",WAS,85,75,0.8824
"De'Andre Hunter",ATL,85,73,0.8588
"Marcus Morris",LAC,89,73,0.8202
"Elfrid Payton",NYK,107,73,0.6822
"Jeremy Lamb",IND,75,71,0.9467
"Patty Mills",SAS,78,71,0.9103
"Delon Wright",DET,90,71,0.7889
"Delon Wright",DET,90,71,0.7889
"Paul Millsap",DEN,98,71,0.7245
"Thaddeus Young",CHI,113,71,0.6283
"Tristan Thompson",BOS,120,71,0.5917
