Player,Tm,3PA,3P,threeptpercent
"Kelly Olynyk",MIA,243,77,0.3169
"Kelly Olynyk",MIA,243,77,0.3169
"Josh Jackson",DET,257,77,0.2996
"Garrison Mathews",WAS,198,76,0.3838
"Facundo Campazzo",DEN,216,76,0.3519
"Nickeil Alexander-Walker",NOP,219,76,0.3470
"Kent Bazemore",GSW,184,75,0.4076
"Timothe Luwawu-Cabarrot",BRK,239,75,0.3138
"Bobby Portis",MIL,157,74,0.4713
"Cameron Payne",PHO,166,73,0.4398
"Evan Fournier",ORL,188,73,0.3883
"Evan Fournier",ORL,188,73,0.3883
"Ja Morant",MEM,241,73,0.3029
"Pascal Siakam",TOR,246,73,0.2967
"Jaden McDaniels",MIN,198,72,0.3636
"Ty Jerome",OKC,168,71,0.4226
"Shai Gilgeous-Alexander",OKC,170,71,0.4176
"Shake Milton",PHI,203,71,0.3498
"Dennis Schroder",LAL,212,71,0.3349
"Myles Turner",IND,206,69,0.3350
"Eric Gordon",HOU,210,69,0.3286
"Mike Muscala",OKC,184,68,0.3696
"Solomon Hill",ATL,212,68,0.3208
"Aaron Holiday",IND,182,67,0.3681
"Garrett Temple",CHI,200,67,0.3350
"Giannis Antetokounmpo",MIL,221,67,0.3032
"Wesley Matthews",LAL,197,66,0.3350
"Ricky Rubio",MIN,214,66,0.3084
"Markieff Morris",LAL,209,65,0.3110
"Raul Neto",WAS,164,64,0.3902
"Josh Hart",NOP,193,63,0.3264
"Dejounte Murray",SAS,199,63,0.3166
"Tony Snell",ATL,109,62,0.5688
"Caris LeVert",IND,195,62,0.3179
"Caris LeVert",IND,195,62,0.3179
"Isaac Okoro",CLE,214,62,0.2897
"Frank Jackson",DET,150,61,0.4067
"Naz Reid",MIN,174,61,0.3506
